date,close
2022-01-04,4.571
2022-01-05,4.524
2022-01-06,4.468
2022-01-07,4.48
2022-01-10,4.493
2022-01-11,4.448
2022-01-12,4.5
2022-01-13,4.419
2022-01-14,4.375
2022-01-17,4.416
2022-01-18,4.462
2022-01-19,4.436
2022-01-20,4.474
2022-01-21,4.44
2022-01-24,4.442
2022-01-25,4.336
2022-01-26,4.362
2022-01-27,4.281
2022-01-28,4.21
2022-02-07,4.282
2022-02-08,4.26
2022-02-09,4.299
2022-02-10,4.288
2022-02-11,4.252
2022-02-14,4.203
2022-02-15,4.245
2022-02-16,4.266
2022-02-17,4.276
2022-02-18,4.3
2022-02-21,4.283
2022-02-22,4.223
2022-02-23,4.271
2022-02-24,4.186
2022-02-25,4.221
2022-02-28,4.227
2022-03-01,4.265
2022-03-02,4.23
2022-03-03,4.201
2022-03-04,4.15
2022-03-07,4.002
2022-03-08,3.92
2022-03-09,3.88
2022-03-10,3.94
2022-03-11,3.968
2022-03-14,3.828
2022-03-15,3.629
2022-03-16,3.802
2022-03-17,3.886
2022-03-18,3.914
2022-03-21,3.908
2022-03-22,3.904
2022-03-23,3.929
2022-03-24,3.902
2022-03-25,3.825
2022-03-28,3.8
2022-03-29,3.782
2022-03-30,3.905
2022-03-31,3.874
2022-04-01,3.925
2022-04-06,3.913
2022-04-07,3.861
2022-04-08,3.889
2022-04-11,3.757
2022-04-12,3.827
2022-04-13,3.795
2022-04-14,3.839
2022-04-15,3.837
2022-04-18,3.817
2022-04-19,3.79
2022-04-20,3.72
2022-04-21,3.652
2022-04-22,3.662
2022-04-25,3.469
2022-04-26,3.439
2022-04-27,3.545
2022-04-28,3.571
2022-04-29,3.671
2022-05-05,3.656
2022-05-06,3.559
2022-05-09,3.527
2022-05-10,3.572
2022-05-11,3.627
2022-05-12,3.607
2022-05-13,3.638
2022-05-16,3.607
2022-05-17,3.656
2022-05-18,3.642
2022-05-19,3.651
2022-05-20,3.735
2022-05-23,3.703
2022-05-24,3.621
2022-05-25,3.638
2022-05-26,3.648
2022-05-27,3.658
2022-05-30,3.681
2022-05-31,3.745
2022-06-01,3.739
2022-06-02,3.75
2022-06-06,3.832
2022-06-07,3.838
2022-06-08,3.88
2022-06-09,3.846
2022-06-10,3.904
2022-06-13,3.852
2022-06-14,3.892
2022-06-15,3.941
2022-06-16,3.914
2022-06-17,3.977
2022-06-20,3.998
2022-06-21,3.996
2022-06-22,3.946
2022-06-23,4.021
2022-06-24,4.069
2022-06-27,4.117
2022-06-28,4.169
2022-06-29,4.114
2022-06-30,4.164
2022-07-01,4.149
2022-07-04,4.177
2022-07-05,4.167
2022-07-06,4.108
2022-07-07,4.124
2022-07-08,4.12
2022-07-11,4.044
2022-07-12,4.008
2022-07-13,4.015
2022-07-14,4.016
2022-07-15,3.951
2022-07-18,3.997
2022-07-19,3.975
2022-07-20,3.987
2022-07-21,3.942
2022-07-22,3.945
2022-07-25,3.927
2022-07-26,3.956
2022-07-27,3.932
2022-07-28,3.935
2022-07-29,3.876
2022-08-01,3.894
2022-08-02,3.823
2022-08-03,3.778
2022-08-04,3.809
2022-08-05,3.874
2022-08-08,3.86
2022-08-09,3.867
2022-08-10,3.822
2022-08-11,3.91
2022-08-12,3.911
2022-08-15,3.901
2022-08-16,3.891
2022-08-17,3.932
2022-08-18,3.895
2022-08-19,3.865
2022-08-22,3.892
2022-08-23,3.878
2022-08-24,3.801
2022-08-25,3.837
2022-08-26,3.831
2022-08-29,3.806
2022-08-30,3.797
2022-08-31,3.797
2022-09-01,3.763
2022-09-02,3.74
2022-09-05,3.738
2022-09-06,3.767
2022-09-07,3.775
2022-09-08,3.757
2022-09-09,3.815
2022-09-13,3.829
2022-09-14,3.783
2022-09-15,3.746
2022-09-16,3.656
2022-09-19,3.645
2022-09-20,3.647
2022-09-21,3.617
2022-09-22,3.588
2022-09-23,3.58
2022-09-26,3.555
2022-09-27,3.605
2022-09-28,3.549
2022-09-29,3.55
2022-09-30,3.524
2022-10-10,3.445
2022-10-11,3.442
2022-10-12,3.504
2022-10-13,3.471
2022-10-14,3.559
2022-10-17,3.558
2022-10-18,3.551
2022-10-19,3.492
2022-10-20,3.48
2022-10-21,3.458
2022-10-24,3.36
2022-10-25,3.344
2022-10-26,3.372
2022-10-27,3.346
2022-10-28,3.26
2022-10-31,3.221
2022-11-01,3.359
2022-11-02,3.393
2022-11-03,3.363
2022-11-04,3.49
2022-11-07,3.49
2022-11-08,3.467
2022-11-09,3.427
2022-11-10,3.406
2022-11-11,3.504
2022-11-14,3.506
2022-11-15,3.581
2022-11-16,3.552
2022-11-17,3.535
2022-11-18,3.522
2022-11-21,3.489
2022-11-22,3.487
2022-11-23,3.49
2022-11-24,3.472
2022-11-25,3.493
2022-11-28,3.448
2022-11-29,3.564
2022-11-30,3.567
2022-12-01,3.612
2022-12-02,3.589
2022-12-05,3.66
2022-12-06,3.683
2022-12-07,3.671
2022-12-08,3.68
2022-12-09,3.714
2022-12-12,3.672
2022-12-13,3.661
2022-12-14,3.671
2022-12-15,3.669
2022-12-16,3.673
2022-12-19,3.615
2022-12-20,3.552
2022-12-21,3.549
2022-12-22,3.557
2022-12-23,3.547
2022-12-26,3.556
2022-12-27,3.603
2022-12-28,3.59
2022-12-29,3.578
2022-12-30,3.594
