OHLCV 数据完整性验证报告 (5 年日K线)
生成时间: 2026-07-25T13:44:18.148615
数据目录: E:\各种PY程序\28-终极量化交易系统8.4\data_cache
================================================================================

标的池总数: 105
通过: 101
失败: 4
覆盖率: 96.2%

================================================================================
所有标的详情
================================================================================
✓ 600519_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000858_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000568_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600887_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 603288_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000333_SZ | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 000651_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600690_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002032_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002508_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600276_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 600436_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000538_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 300015_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 300003_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002007_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600196_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000963_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 603259_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✗ 688235_SH | rows=1116 | 2021-12-15 ~ 2026-07-24 | days=1682 | issues: 起始日期过晚 (2021-12-15 > 2021-09-01)
✓ 688180_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 300760_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002422_SZ | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 600085_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 300308_SZ | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 600859_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601888_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002024_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600439_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 603899_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600019_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 000709_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000408_SZ | rows=1260 | 2021-05-07 ~ 2026-07-24 | days=1904
✓ 601899_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600547_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600219_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 600309_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000830_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002466_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002460_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601088_SH | rows=1260 | 2021-04-28 ~ 2026-07-24 | days=1913
✓ 601225_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600585_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000402_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600801_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000680_SZ | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 000425_SZ | rows=1260 | 2021-04-23 ~ 2026-07-24 | days=1918
✓ 600089_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 300750_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002129_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601012_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600406_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 601633_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600104_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002475_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600660_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 000768_SZ | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 600038_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✗ 601989_SH | rows=999 | 2021-07-26 ~ 2025-09-04 | days=1501 | issues: 行数过少 (999 < 1000), 结束日期过早 (2025-09-04 < 2026-05-26)
✓ 600893_SH | rows=1211 | 2021-07-26 ~ 2026-07-24 | days=1824
✓ 002371_SZ | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
✓ 688017_SH | rows=1260 | 2021-05-17 ~ 2026-07-24 | days=1894
