证券代码,证券名称,市场,类型,风格,策略方向
510300,沪深300ETF华泰柏瑞,上海,ETF,宽基,市场Beta稳定器
510500,中证500ETF南方,上海,ETF,宽基,中盘Beta
512100,中证1000ETF南方,上海,ETF,宽基,小盘Beta
588000,科创50ETF华夏,上海,ETF,高端制造,AI/科技核心指数
159915,创业板ETF易方达,深圳,ETF,成长,成长风格核心敞口
515180,易方达中证红利ETF,上海,ETF,红利,高股息低估值
518880,黄金ETF华安,上海,商品,避险,抗通胀+危机对冲
688041,海光信息,上海,个股,科技,AI算力国产替代
300308,中际旭创,深圳,个股,科技,光模块全球龙头
300274,阳光电源,深圳,个股,新能源,光伏逆变器龙头
002371,北方华创,深圳,个股,科技,半导体设备龙头
688017,绿的谐波,上海,个股,制造,机器人核心部件
600276,恒瑞医药,上海,个股,医药,创新药龙头
600089,特变电工,上海,个股,制造,电网+多晶硅双龙头
600875,东方电气,上海,个股,制造,核电+风电设备
000425,徐工机械,深圳,个股,制造,工程机械龙头
600406,国电南瑞,上海,个股,制造,电网自动化龙头
600989,宝丰能源,上海,个股,化工,煤化工+光伏一体化
600036,招商银行,上海,个股,银行,零售银行龙头
600900,长江电力,上海,个股,防御,水电龙头高股息
601088,中国神华,上海,个股,顺周期,煤电一体化
688981,中芯国际,上海,个股,科技,半导体制造龙头
603019,中科曙光,上海,个股,科技,AI算力服务器龙头
600219,南山铝业,上海,个股,制造,铝材+航空+汽车轻量化
600019,宝钢股份,上海,个股,制造,钢铁龙头+汽车板高端化
