code,startxh,date,open,high,low,close,volume,amount
159915,2800,2012-04-09,0.701,0.705,0.691,0.691,255383.68,17836990.0
159915,2800,2012-04-10,0.691,0.701,0.675,0.7,432217.24,29705702.0
159915,2800,2012-04-11,0.69,0.704,0.688,0.701,405369.52,28306942.0
159915,2800,2012-04-12,0.701,0.718,0.699,0.718,713463.36,50714408.0
159915,2800,2012-04-13,0.719,0.728,0.716,0.722,635922.48,45925376.0
159915,2800,2012-04-16,0.715,0.723,0.713,0.719,370351.96,26581620.0
159915,2800,2012-04-17,0.719,0.721,0.708,0.71,350163.44,24975120.0
159915,2800,2012-04-18,0.713,0.73,0.712,0.728,1247346.96,90213544.0
159915,2800,2012-04-19,0.726,0.732,0.724,0.728,618379.04,45105524.0
159915,2800,2012-04-20,0.726,0.732,0.723,0.729,546081.48,39793484.0
159915,2800,2012-04-23,0.725,0.725,0.686,0.686,1416033.6,98936168.0
159915,2800,2012-04-24,0.681,0.691,0.664,0.683,682601.12,46442464.0
159915,2800,2012-04-25,0.681,0.688,0.676,0.684,349221.4,23827828.0
159915,2800,2012-04-26,0.689,0.689,0.676,0.681,361390.08,24719898.0
159915,2800,2012-04-27,0.68,0.693,0.678,0.688,444964.72,30608612.0
159915,2800,2012-05-02,0.696,0.701,0.689,0.698,661551.0,46100124.0
159915,2800,2012-05-03,0.697,0.704,0.694,0.703,580504.56,40676464.0
159915,2800,2012-05-04,0.703,0.719,0.703,0.719,849684.56,60671968.0
159915,2800,2012-05-07,0.717,0.737,0.714,0.737,961354.0,69948272.0
159915,2800,2012-05-08,0.739,0.743,0.734,0.734,1159377.28,85664872.0
159915,2800,2012-05-09,0.729,0.733,0.722,0.724,644415.68,46811216.0
159915,2800,2012-05-10,0.725,0.735,0.723,0.732,759576.56,55535880.0
159915,2800,2012-05-11,0.73,0.735,0.722,0.722,581807.36,42365968.0
159915,2800,2012-05-14,0.728,0.735,0.721,0.722,884658.0,64332808.0
159915,2800,2012-05-15,0.718,0.725,0.713,0.724,431853.28,31057994.0
159915,2800,2012-05-16,0.723,0.727,0.714,0.714,609531.68,43806596.0
159915,2800,2012-05-17,0.715,0.724,0.707,0.72,512169.76,36787880.0
159915,2800,2012-05-18,0.715,0.722,0.709,0.712,310182.36,22262298.0
159915,2800,2012-05-21,0.712,0.717,0.703,0.708,625508.4,44519544.0
159915,2800,2012-05-22,0.711,0.722,0.711,0.721,427355.6,30676894.0
159915,2800,2012-05-23,0.72,0.722,0.71,0.716,190881.0,13691500.0
159915,2800,2012-05-24,0.715,0.723,0.714,0.716,608668.08,43765896.0
159915,2800,2012-05-25,0.718,0.72,0.705,0.706,350700.04,24978678.0
