date,value
2014-01-02,988313.31
2014-01-03,993284.73
2014-01-06,981449.46
2014-01-07,990066.5
2014-01-08,1001362.65
2014-01-09,993555.94
2014-01-10,982927.82
2014-01-13,985795.9
2014-01-14,998236.13
2014-01-15,1002815.5
2014-01-16,997241.91
2014-01-17,990341.15
2014-01-20,981841.39
2014-01-21,993171.29
2014-01-22,1000702.62
2014-01-23,1005447.9
2014-01-24,1015434.94
2014-01-27,1011445.75
2014-01-28,1009036.24
2014-01-29,1015140.51
2014-01-30,1013810.21
2014-02-07,1026484.81
2014-02-10,1043072.9
2014-02-11,1041142.34
2014-02-12,1045814.73
2014-02-13,1031414.46
2014-02-14,1044237.25
2014-02-17,1062476.09
2014-02-18,1051656.5
2014-02-19,1056569.63
2014-02-20,1047007.8
2014-02-21,1045348.78
2014-02-24,1045217.75
2014-02-25,1021173.16
2014-02-26,1027485.07
2014-02-27,999855.36
2014-02-28,1007373.33
2014-03-03,1013788.18
2014-03-04,1009058.05
2014-03-05,1003615.09
2014-03-06,1004798.57
2014-03-07,1007544.87
2014-03-10,984990.82
2014-03-11,993235.21
2014-03-12,998414.77
2014-03-13,1009671.44
2014-03-14,1006148.0
2014-03-17,1022476.11
2014-03-18,1020898.66
2014-03-19,1011634.85
2014-03-20,987816.3
2014-03-21,999439.18
2014-03-24,994501.03
2014-03-25,988434.57
2014-03-26,995397.21
2014-03-27,976169.59
2014-03-28,971018.97
2014-03-31,964840.28
2014-04-01,967332.98
2014-04-02,967558.28
2014-04-03,966920.33
2014-04-04,972552.91
2014-04-08,991319.19
2014-04-09,992757.18
2014-04-10,998928.67
2014-04-11,998757.32
2014-04-14,1002200.45
2014-04-15,987107.23
2014-04-16,984585.89
2014-04-17,982024.19
2014-04-18,980568.83
2014-04-21,968643.01
2014-04-22,970812.45
2014-04-23,968208.17
2014-04-24,965525.26
2014-04-25,960799.94
2014-04-28,953995.08
2014-04-29,954885.97
2014-04-30,960456.8
2014-05-05,965120.27
2014-05-06,964932.88
2014-05-07,955684.2
2014-05-08,950401.54
2014-05-09,950380.65
2014-05-12,961684.96
2014-05-13,959573.16
2014-05-14,959942.93
2014-05-15,953473.66
2014-05-16,949861.59
2014-05-19,941404.89
2014-05-20,940755.94
2014-05-21,945270.35
2014-05-22,943249.75
2014-05-23,953667.49
2014-05-26,959054.85
2014-05-27,955366.62
2014-05-28,961681.94
2014-05-29,951627.54
2014-05-30,952329.82
2014-06-03,950352.03
2014-06-04,945094.2
2014-06-05,959001.32
2014-06-06,955460.64
2014-06-09,948663.62
2014-06-10,961649.9
2014-06-11,968804.94
2014-06-12,966275.74
2014-06-13,973594.52
2014-06-16,977198.31
2014-06-17,971514.32
2014-06-18,966961.06
2014-06-19,945314.38
2014-06-20,949869.03
2014-06-23,956000.55
2014-06-24,960879.97
2014-06-25,955565.55
2014-06-26,963710.91
2014-06-27,965124.47
2014-06-30,969490.87
2014-07-01,971199.85
2014-07-02,975146.21
2014-07-03,975553.63
2014-07-04,968675.89
2014-07-07,962115.17
2014-07-08,968005.33
2014-07-09,957991.51
2014-07-10,954206.93
2014-07-11,957224.81
2014-07-14,958966.22
2014-07-15,960608.34
2014-07-16,955116.33
2014-07-17,953942.03
2014-07-18,958956.11
2014-07-21,961860.46
2014-07-22,965555.72
2014-07-23,962720.97
2014-07-24,969053.57
2014-07-25,974286.18
2014-07-28,989666.88
2014-07-29,991741.37
2014-07-30,990779.79
2014-07-31,995584.63
2014-08-01,994038.58
2014-08-04,1003265.77
2014-08-05,1001421.71
2014-08-06,997917.15
2014-08-07,989085.99
2014-08-08,994438.63
2014-08-11,1006585.29
2014-08-12,1004744.9
2014-08-13,1000745.2
2014-08-14,992843.5
2014-08-15,1003352.28
2014-08-18,1016308.79
2014-08-19,1018521.94
2014-08-20,1012873.04
2014-08-21,1014187.65
2014-08-22,1022243.5
2014-08-25,1012826.18
2014-08-26,998758.19
2014-08-27,999754.81
2014-08-28,993938.09
2014-08-29,1001559.13
2014-09-01,1007804.13
2014-09-02,1013663.77
2014-09-03,1020312.83
2014-09-04,1029186.06
2014-09-05,1036189.21
2014-09-09,1034913.13
2014-09-10,1033365.86
2014-09-11,1030882.85
2014-09-12,1037927.41
2014-09-15,1036983.23
2014-09-16,1016054.57
2014-09-17,1020667.97
2014-09-18,1030373.69
2014-09-19,1037068.57
2014-09-22,1021217.03
2014-09-23,1033643.7
2014-09-24,1045810.65
2014-09-25,1040170.03
2014-09-26,1041013.55
2014-09-29,1049555.43
2014-09-30,1055182.15
2014-10-08,1077552.4
2014-10-09,1075670.48
2014-10-10,1072363.27
2014-10-13,1070264.1
2014-10-14,1060250.91
2014-10-15,1075024.38
2014-10-16,1066066.09
2014-10-17,1060200.51
2014-10-20,1065867.28
2014-10-21,1052735.41
2014-10-22,1042584.15
2014-10-23,1028439.9
2014-10-24,1024212.6
2014-10-27,1027863.06
2014-10-28,1041583.66
2014-10-29,1050040.88
2014-10-30,1043442.32
2014-10-31,1046737.49
2014-11-03,1050339.11
2014-11-04,1042211.88
2014-11-05,1040585.79
2014-11-06,1047139.48
2014-11-07,1041492.94
2014-11-10,1052133.22
2014-11-11,1033361.03
2014-11-12,1046296.11
2014-11-13,1033432.1
2014-11-14,1039433.75
2014-11-17,1045879.52
2014-11-18,1041536.57
2014-11-19,1048952.04
2014-11-20,1042003.57
2014-11-21,1055436.42
2014-11-24,1068574.7
2014-11-25,1076981.67
2014-11-26,1090157.15
2014-11-27,1095281.19
2014-11-28,1103638.5
2014-12-01,1105484.24
2014-12-02,1124106.48
2014-12-03,1141437.54
2014-12-04,1174896.43
2014-12-05,1158671.48
2014-12-08,1168695.92
2014-12-09,1153436.88
2014-12-10,1183438.56
2014-12-11,1172667.37
2014-12-12,1182643.91
2014-12-15,1204380.94
2014-12-16,1206154.12
2014-12-17,1206343.3
2014-12-18,1198162.9
2014-12-19,1188444.04
2014-12-22,1161071.72
2014-12-23,1147054.29
2014-12-24,1137921.75
2014-12-25,1154169.56
2014-12-26,1178261.3
2014-12-29,1178116.37
2014-12-30,1172024.16
2014-12-31,1186263.21
2015-01-05,1214933.28
2015-01-06,1229952.14
2015-01-07,1223819.89
2015-01-08,1212765.04
2015-01-09,1209384.29
2015-01-12,1209628.02
2015-01-13,1215670.62
2015-01-14,1210849.73
2015-01-15,1222930.82
2015-01-16,1240421.67
2015-01-19,1195460.15
2015-01-20,1223304.36
2015-01-21,1237081.24
2015-01-22,1243779.92
2015-01-23,1232471.43
2015-01-26,1248501.93
2015-01-27,1250304.59
2015-01-28,1243762.12
2015-01-29,1230061.51
2015-01-30,1216043.36
2015-02-02,1225531.78
2015-02-03,1236223.79
2015-02-04,1228282.01
2015-02-05,1233493.29
2015-02-06,1212122.7
2015-02-09,1198775.74
2015-02-10,1210088.08
2015-02-11,1218016.74
2015-02-12,1220682.4
2015-02-13,1236301.89
2015-02-16,1255924.95
2015-02-17,1258700.43
2015-02-25,1250128.34
2015-02-26,1264663.13
2015-02-27,1276833.57
2015-03-02,1293321.57
2015-03-03,1270104.07
2015-03-04,1299106.43
2015-03-05,1296671.35
2015-03-06,1271632.67
2015-03-09,1296602.95
2015-03-10,1305324.56
2015-03-11,1301683.18
2015-03-12,1304905.62
2015-03-13,1323717.02
2015-03-16,1364015.03
2015-03-17,1364667.39
2015-03-18,1394622.3
2015-03-19,1384902.93
2015-03-20,1433965.25
2015-03-23,1440938.92
2015-03-24,1461633.38
2015-03-25,1465258.36
2015-03-26,1438145.65
2015-03-27,1451657.53
2015-03-30,1470533.12
2015-03-31,1472471.92
2015-04-01,1500836.08
2015-04-02,1520950.45
2015-04-03,1536904.34
2015-04-07,1570600.1
2015-04-08,1553390.93
2015-04-09,1564166.49
2015-04-10,1583920.12
2015-04-13,1623018.99
2015-04-14,1624050.64
2015-04-15,1577598.15
2015-04-16,1606129.26
2015-04-17,1618471.24
2015-04-20,1579317.29
2015-04-21,1637160.66
2015-04-22,1676263.8
2015-04-23,1690403.81
2015-04-24,1703656.47
2015-04-27,1719556.72
2015-04-28,1680955.38
2015-04-29,1722825.22
2015-04-30,1725202.99
2015-05-04,1728330.27
2015-05-05,1668172.25
2015-05-06,1687048.72
2015-05-07,1658220.19
2015-05-08,1721379.73
2015-05-11,1791656.23
2015-05-12,1820862.0
2015-05-13,1795550.78
2015-05-14,1785179.8
2015-05-15,1767378.95
2015-05-18,1799403.6
