entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2013-11-26,2014-01-23,long,1402738.26,0.233,0.233,-196.1,-0.06,41,512010,医药ETF,医药ETF
2014-01-23,2014-01-24,long,143779.11,2.32,2.303,-2643.65,-0.7923,1,510300,沪深300ETF,沪深300ETF
2014-01-24,2014-01-27,long,1438409.02,0.233,0.234,1236.89,0.3689,1,512010,医药ETF,医药ETF
2014-01-27,2014-01-29,long,146717.95,2.307,2.302,-936.46,-0.2766,2,510300,沪深300ETF,沪深300ETF
2014-01-29,2014-02-07,long,1456040.75,0.231,0.229,-3113.02,-0.9253,2,512010,医药ETF,医药ETF
2014-02-07,2014-02-25,long,149927.57,2.254,2.29,5193.01,1.5362,12,510300,沪深300ETF,沪深300ETF
2013-12-25,2014-03-03,long,257749.82,1.238,1.4,41551.49,13.0178,42,159915,创业板ETF,创业板ETF
2014-03-03,2014-03-04,long,149306.85,2.249,2.255,694.1,0.2066,1,510300,沪深300ETF,沪深300ETF
2014-02-25,2014-03-06,long,1463890.4,0.238,0.223,-22160.81,-6.3587,7,512010,医药ETF,医药ETF
2014-03-04,2014-03-10,long,237978.45,1.42,1.408,-3057.64,-0.9045,4,159915,创业板ETF,创业板ETF
2014-03-06,2014-03-14,long,149748.6,2.234,2.202,-4991.24,-1.4915,6,510300,沪深300ETF,沪深300ETF
2014-03-10,2014-03-21,long,1499322.73,0.224,0.218,-9194.75,-2.7369,9,512010,医药ETF,医药ETF
2014-03-14,2014-03-25,long,241086.78,1.396,1.354,-10324.54,-3.0668,7,159915,创业板ETF,创业板ETF
2014-03-25,2014-03-26,long,1520643.77,0.218,0.22,2841.47,0.8569,1,512010,医药ETF,医药ETF
2014-03-26,2014-03-28,long,242263.38,1.36,1.326,-8432.17,-2.5585,2,159915,创业板ETF,创业板ETF
2013-12-18,2014-04-11,long,133841.65,2.42,2.603,24291.34,7.4975,75,518880,黄金ETF,黄金ETF
2014-04-11,2014-04-14,long,248119.39,1.342,1.329,-3424.37,-1.0281,1,159915,创业板ETF,创业板ETF
2014-03-28,2014-05-07,long,1479044.83,0.22,0.211,-13502.64,-4.1484,25,512010,医药ETF,医药ETF
2014-05-07,2014-05-08,long,251677.85,1.278,1.251,-6986.25,-2.1714,1,159915,创业板ETF,创业板ETF
2014-05-08,2014-05-23,long,1524217.23,0.209,0.203,-9333.7,-2.9291,11,512010,医药ETF,医药ETF
2014-03-21,2014-05-27,long,152370.25,2.161,2.233,10769.8,3.2698,44,510300,沪深300ETF,沪深300ETF
2014-04-14,2014-05-29,long,126633.36,2.629,2.558,-9188.02,-2.759,31,518880,黄金ETF,黄金ETF
2014-05-29,2014-06-23,long,142281.69,2.253,2.226,-4032.79,-1.2577,16,510300,沪深300ETF,沪深300ETF
2014-05-27,2014-06-24,long,1522309.28,0.21,0.208,-3235.52,-1.0118,19,512010,医药ETF,医药ETF
2014-06-24,2014-06-30,long,143479.0,2.221,2.252,4255.31,1.3349,4,510300,沪深300ETF,沪深300ETF
2014-06-30,2014-07-02,long,1517491.31,0.212,0.212,-193.02,-0.06,2,512010,医药ETF,医药ETF
2014-07-02,2014-07-04,long,143118.16,2.262,2.279,2238.04,0.6911,2,510300,沪深300ETF,沪深300ETF
2014-07-04,2014-07-07,long,1526687.99,0.213,0.212,-1721.34,-0.5292,1,512010,医药ETF,医药ETF
