date,value
2023-09-01,1993922.24
2023-09-04,2019117.24
2023-09-05,2005112.24
2023-09-06,2003132.24
2023-09-07,1965095.24
2023-09-08,1966051.24
2023-09-11,1982905.24
2023-09-12,1979965.24
2023-09-13,1959496.24
2023-09-14,1956881.24
2023-09-15,1951393.24
2023-09-18,1951875.24
2023-09-19,1947297.24
2023-09-20,1937105.24
2023-09-21,1919523.24
2023-09-22,1956562.24
2023-09-25,1946043.24
2023-09-26,1939615.24
2023-09-27,1946061.24
2023-09-28,1939306.24
2023-10-09,1933267.2
2023-10-10,1918918.2
2023-10-11,1930578.2
2023-10-12,1944000.2
2023-10-13,1931706.2
2023-10-16,1911642.2
2023-10-17,1916666.2
2023-10-18,1900361.2
2023-10-19,1882515.2
2023-10-20,1870887.2
2023-10-23,1837482.2
2023-10-24,1851137.2
2023-10-25,1855375.2
2023-10-26,1862393.2
2023-10-27,1897701.2
2023-10-30,1916924.2
2023-10-31,1912095.2
2023-11-01,1904876.72
2023-11-02,1891333.72
2023-11-03,1911378.72
2023-11-06,1940599.72
2023-11-07,1941540.72
2023-11-08,1940011.72
2023-11-09,1936060.72
2023-11-10,1927851.72
2023-11-13,1934814.72
2023-11-14,1940023.72
2023-11-15,1946612.72
2023-11-16,1925133.72
2023-11-17,1928490.72
2023-11-20,1933520.72
2023-11-21,1928710.72
2023-11-22,1903061.72
2023-11-23,1916776.72
2023-11-24,1900426.72
2023-11-27,1897226.72
2023-11-28,1903593.72
2023-11-29,1895334.72
2023-11-30,1893159.72
2023-12-01,1897204.83
2023-12-04,1890610.83
2023-12-05,1856508.83
2023-12-06,1859757.83
2023-12-07,1857520.83
2023-12-08,1869535.83
2023-12-11,1885994.83
2023-12-12,1884633.83
2023-12-13,1861452.83
2023-12-14,1855502.83
2023-12-15,1847565.83
2023-12-18,1828936.83
2023-12-19,1832156.83
2023-12-20,1812864.83
2023-12-21,1829207.83
2023-12-22,1826927.83
2023-12-25,1823140.83
2023-12-26,1809451.83
2023-12-27,1813814.83
2023-12-28,1854016.83
2023-12-29,1866175.83
2024-01-02,1848932.86
2024-01-03,1835022.86
2024-01-04,1819313.86
2024-01-05,1800075.86
2024-01-08,1764577.86
2024-01-09,1768229.86
2024-01-10,1760280.86
2024-01-11,1778984.86
2024-01-12,1769689.86
2024-01-15,1764046.86
2024-01-16,1771564.86
2024-01-17,1728386.86
2024-01-18,1741042.86
2024-01-19,1732626.86
2024-01-22,1682652.86
2024-01-23,1699946.86
2024-01-24,1715318.86
2024-01-25,1745140.86
2024-01-26,1729402.86
2024-01-29,1692863.86
2024-01-30,1661413.86
2024-01-31,1634624.86
2024-02-01,1641345.54
2024-02-02,1607727.54
2024-02-05,1594104.54
2024-02-06,1677570.54
2024-02-07,1725434.54
2024-02-08,1745825.54
2024-02-19,1754084.54
2024-02-20,1752451.54
2024-02-21,1759102.54
2024-02-22,1773554.54
