entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2023-10-09,long,300,3.5811,3.48,-35.32,-3.2879,20,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2023-10-09,long,1100,5.4716,5.4,-83.81,-1.3924,20,sh510500,中证500ETF,中证500ETF
2023-09-01,2023-10-09,long,2200,2.3807,2.36,-50.57,-0.9655,20,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2023-10-09,long,1000,4.4713,4.4,-76.34,-1.7073,20,sh518880,黄金ETF,黄金ETF
2023-09-01,2023-11-01,long,3300,4.4713,4.6,419.57,2.8434999999999997,37,sh518880,黄金ETF,黄金ETF
2023-09-01,2023-12-01,long,500,5.4683,5.24,-119.17,-4.3585,59,sh510500,中证500ETF,中证500ETF
2023-09-01,2023-12-01,long,2800,2.3806,2.37,-34.7,-0.5205000000000001,59,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2023-12-01,long,800,0.9884,0.91,-67.74,-8.5664,59,sh588000,科创50ETF,科创50ETF
2023-09-01,2023-12-01,long,600,4.4713,4.59,66.2,2.4674,59,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-01-02,long,1200,0.9884,0.9,-111.11,-9.3673,80,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-01-02,long,1500,4.4713,4.64,247.99,3.6975000000000002,80,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-02-01,long,7900,3.5709,2.99,-4596.23,-16.2928,102,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-02-01,long,7400,4.4713,4.65,1311.75,3.9644,102,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-03-01,long,1600,5.4399,5.03,-660.87,-7.5927999999999995,117,sh510500,中证500ETF,中证500ETF
2023-09-01,2024-03-01,long,300,2.3363,2.07,-84.89,-12.1122,117,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2024-03-01,long,19800,0.9661,0.85,-2304.75,-12.048,117,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-03-01,long,4700,2.0299,1.76,-1273.64,-13.3496,117,sz159915,创业板ETF,创业板ETF
2023-09-01,2024-04-01,long,800,2.3363,2.11,-186.05,-9.9543,138,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2024-04-01,long,5000,4.4911,5.18,3436.93,15.3056,138,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-05-06,long,100,3.5661,3.43,-18.61,-5.2177,158,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-05-06,long,700,5.433,5.21,-161.13,-4.2367,158,sh510500,中证500ETF,中证500ETF
2023-09-01,2024-05-06,long,1700,2.0299,1.85,-310.87,-9.0084,158,sz159915,创业板ETF,创业板ETF
2023-09-01,2024-06-03,long,1300,3.5661,3.37,-259.89,-5.606,178,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-06-03,long,2300,4.5052,5.32,1869.04,18.0375,178,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-07-01,long,2500,3.5661,3.28,-720.17,-8.078000000000001,197,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-07-01,long,3200,0.9503,0.75,-645.84,-21.2389,197,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-07-01,long,2100,4.5052,5.3,1664.08,17.5889,197,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-08-01,long,10100,0.9503,0.78,-1724.66,-17.9696,220,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-08-01,long,1100,4.5052,5.5,1089.28,21.9802,220,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-09-02,long,1200,3.5634,3.17,-477.12,-11.1578,242,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-09-02,long,2200,4.5052,5.51,2205.56,22.2526,242,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-10-08,long,31300,0.9464,1.14,6050.13,20.424999999999997,261,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-10-08,long,31500,2.0052,2.68,21229.59,33.6097,261,sz159915,创业板ETF,创业板ETF
2023-09-01,2024-11-01,long,800,5.3944,5.69,231.46,5.3635,279,sh510500,中证500ETF,中证500ETF
2023-09-01,2024-11-01,long,5100,2.3097,2.39,404.75,3.4361,279,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2024-11-01,long,9700,4.8375,6.02,11452.48,24.4065,279,sh518880,黄金ETF,黄金ETF
2023-09-01,2024-12-02,long,800,2.3097,2.44,99.27,5.3728,300,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2024-12-02,long,12700,0.9468,1.06,1432.35,11.9118,300,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-12-02,long,3300,2.0168,2.17,500.42,7.518700000000001,300,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-01-02,long,2400,3.5945,3.81,512.22,5.9375,322,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2025-01-02,long,1800,4.8788,5.98,1977.18,22.514400000000002,322,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-02-05,long,1400,0.9474,1.04,124.67,9.3995,340,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-02-05,long,3600,4.8788,6.4,5469.44,31.1407,340,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-03-03,long,2600,2.3106,2.47,409.52,6.816800000000001,358,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-03-03,long,14600,0.9474,1.13,2661.26,19.240199999999998,358,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-03-03,long,200,2.019,2.13,17.21,4.2612,358,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-04-01,long,4300,4.9258,7.07,9210.77,43.485800000000005,379,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-05-06,long,3300,0.9532,1.07,380.4,12.0932,400,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-05-06,long,4000,4.9258,7.6,10687.52,54.2422,400,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-06-03,long,2300,3.6022,3.74,311.84,3.7638,419,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2025-06-03,long,300,5.4024,5.47,15.28,0.9428000000000001,419,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-06-03,long,900,2.3125,2.37,46.77,2.2474000000000003,419,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-06-03,long,2100,2.0168,1.96,-124.27,-2.9343,419,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-07-01,long,600,5.4024,5.74,197.56,6.0948,439,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-07-01,long,2400,2.3125,2.52,493.06,8.8841,439,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-07-01,long,8300,2.0168,2.13,934.28,5.581300000000001,439,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-08-01,long,800,5.4024,6.07,529.08,12.2418,462,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-08-01,long,600,2.3125,2.65,197.52,14.235500000000002,462,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-08-01,long,6000,2.0168,2.3,1694.22,14.0009,462,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-09-01,long,37700,0.9582,1.42,17393.72,48.1498,483,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-09-01,long,13000,2.0168,2.88,11210.4,42.7578,483,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-10-09,long,14700,0.9582,1.61,9574.33,67.9726,505,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-10-09,long,5000,2.0168,3.22,6011.01,59.609500000000004,505,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-10-09,long,3100,5.4615,8.72,10093.22,59.614999999999995,505,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-11-03,long,3300,3.6894,4.63,3099.12,25.455,522,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2025-11-03,long,400,5.4738,7.22,693.48,31.6725,522,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-11-03,long,1000,2.3768,2.99,608.22,25.590200000000003,522,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-11-03,long,200,2.0168,3.15,221.64,54.948600000000006,522,sz159915,创业板ETF,创业板ETF
2023-09-01,2025-11-03,long,1200,5.4615,8.74,3929.19,59.952799999999996,522,sh518880,黄金ETF,黄金ETF
2023-09-01,2025-12-01,long,600,2.3768,2.94,332.93,23.3462,542,sh512100,中证1000ETF,中证1000ETF
2023-09-01,2025-12-01,long,3200,5.4615,9.15,11794.4,67.4859,542,sh518880,黄金ETF,黄金ETF
2023-09-01,2026-01-05,long,1900,5.4983,7.43,3665.2,35.0845,565,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-01-05,long,2600,2.0305,3.22,3087.65,58.485299999999995,565,sz159915,创业板ETF,创业板ETF
2023-09-01,2026-02-02,long,2700,5.4983,8.18,7233.93,48.7282,585,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-02-02,long,1400,2.3792,3.27,1242.14,37.2917,585,sh512100,中证1000ETF,中证1000ETF
