date,value
2023-09-01,1993922.24
2023-09-04,2019117.24
2023-09-05,2005112.24
2023-09-06,2003132.24
2023-09-07,1965095.24
2023-09-08,1966051.24
2023-09-11,1982905.24
2023-09-12,1979965.24
2023-09-13,1959496.24
2023-09-14,1956881.24
2023-09-15,1951393.24
2023-09-18,1951875.24
2023-09-19,1947297.24
2023-09-20,1937105.24
2023-09-21,1919523.24
2023-09-22,1956562.24
2023-09-25,1946043.24
2023-09-26,1939615.24
2023-09-27,1946061.24
2023-09-28,1939306.24
2023-10-09,1933281.24
2023-10-10,1918942.24
2023-10-11,1930405.24
2023-10-12,1943896.24
2023-10-13,1931713.24
2023-10-16,1911763.24
2023-10-17,1916841.24
2023-10-18,1900548.24
2023-10-19,1882621.24
2023-10-20,1871079.24
2023-10-23,1837622.24
2023-10-24,1851298.24
2023-10-25,1855670.24
2023-10-26,1862733.24
2023-10-27,1897958.24
2023-10-30,1917038.24
2023-10-31,1912189.24
2023-11-01,1905162.24
2023-11-02,1891722.24
2023-11-03,1911576.24
2023-11-06,1940563.24
2023-11-07,1941398.24
2023-11-08,1939808.24
2023-11-09,1935685.24
2023-11-10,1927705.24
2023-11-13,1934639.24
2023-11-14,1939924.24
2023-11-15,1946691.24
2023-11-16,1925222.24
2023-11-17,1928715.24
2023-11-20,1933544.24
2023-11-21,1928708.24
2023-11-22,1903150.24
2023-11-23,1916839.24
2023-11-24,1900526.24
2023-11-27,1897593.24
2023-11-28,1904008.24
2023-11-29,1895925.24
2023-11-30,1893713.24
2023-12-01,1897899.24
2023-12-04,1891716.24
2023-12-05,1857808.24
2023-12-06,1861058.24
2023-12-07,1858822.24
2023-12-08,1870577.24
2023-12-11,1886625.24
2023-12-12,1885273.24
2023-12-13,1862461.24
2023-12-14,1857029.24
2023-12-15,1849028.24
2023-12-18,1830438.24
2023-12-19,1833699.24
2023-12-20,1814535.24
2023-12-21,1830627.24
2023-12-22,1828341.24
2023-12-25,1824568.24
2023-12-26,1811115.24
2023-12-27,1815574.24
2023-12-28,1855082.24
2023-12-29,1867192.24
2024-01-02,1850459.24
2024-01-03,1836706.24
2024-01-04,1821161.24
2024-01-05,1802046.24
2024-01-08,1766710.24
2024-01-09,1770276.24
2024-01-10,1762240.24
2024-01-11,1780843.24
2024-01-12,1771838.24
2024-01-15,1766399.24
2024-01-16,1773755.24
2024-01-17,1730592.24
2024-01-18,1742792.24
2024-01-19,1734515.24
2024-01-22,1684432.24
2024-01-23,1701663.24
2024-01-24,1716969.24
2024-01-25,1746640.24
2024-01-26,1731159.24
2024-01-29,1694938.24
2024-01-30,1663914.24
2024-01-31,1636954.24
2024-02-01,1643433.24
2024-02-02,1611802.24
2024-02-05,1598314.24
2024-02-06,1677410.24
2024-02-07,1723169.24
2024-02-08,1742718.24
2024-02-19,1750185.24
2024-02-20,1748958.24
2024-02-21,1755672.24
2024-02-22,1769361.24
