date,reason,state,turnover_cny
2023-09-01,initial,NORMAL,1988917.0
2023-10-09,scheduled,NORMAL,35404.0
2024-01-02,scheduled,NORMAL,77165.0
2024-01-09,drawdown,WARN,192469.0
2024-02-26,drawdown,NORMAL,229257.0
2024-04-01,scheduled,NORMAL,22140.0
2024-08-06,drawdown,WARN,210149.0
2024-09-27,drawdown,NORMAL,211362.0
2024-10-08,scheduled,NORMAL,250918.0
2025-01-02,scheduled,NORMAL,225321.0
2025-04-01,scheduled,NORMAL,112119.0
2025-04-08,drawdown,WARN,193381.0
2025-05-08,drawdown,NORMAL,203255.0
2025-10-09,scheduled,NORMAL,316824.0
2026-01-05,scheduled,NORMAL,85980.0
2026-03-24,drawdown,WARN,337100.0
2026-04-01,scheduled,WARN,46015.0
2026-04-09,drawdown,NORMAL,285247.0
2026-07-20,drawdown,WARN,405882.0
2026-08-10,drawdown,NORMAL,318998.0
