entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2023-10-09,long,500,5.4744,5.3973,-43.54,-1.5906,20,sh510500,中证500ETF,中证500ETF
2023-09-01,2023-10-09,long,14200,0.9307,0.9495,261.69,1.9800000000000002,20,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-01-02,long,30300,1.1405,1.2094,2077.25,6.0112,80,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-01-02,long,600,0.4801,0.4498,-23.17,-8.0428,80,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-01-09,long,3400,1.1405,1.1994,195.34,5.0377,85,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-01-09,long,16800,0.9304,0.9395,147.88,0.9461,85,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-01-09,long,11200,0.9881,0.8296,-1780.5,-16.0886,85,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-01-09,long,20900,0.4801,0.4098,-1473.36,-14.685,85,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-01-09,long,15000,0.5196,0.4298,-1352.52,-17.3527,85,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2024-01-09,long,6100,2.4467,1.969,-2918.9,-19.557299999999998,85,sh516160,新能源ETF,新能源ETF
2023-09-01,2024-01-09,long,12700,1.0352,0.8396,-2489.23,-18.934,85,sh515790,光伏ETF,光伏ETF
2023-09-01,2024-01-09,long,22500,0.5765,0.4698,-2406.96,-18.5555,85,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2024-01-09,long,11500,1.0986,0.9595,-1604.63,-12.700800000000001,85,sz159920,恒生ETF,恒生ETF
2023-09-01,2024-02-26,long,3100,3.5521,3.2684,-884.66,-8.0339,113,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-02-26,long,13600,1.1405,1.3093,2291.28,14.772499999999999,113,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-02-26,long,15600,0.9304,1.0195,1384.34,9.5375,113,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-02-26,long,700,97.1253,97.6212,326.61,0.4804,113,sh511880,银华日利,银华日利
2023-09-01,2024-04-01,long,1600,0.5068,0.4698,-64.33,-7.9331,138,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2024-04-01,long,200,2.32,1.989,-71.21,-15.3457,138,sh516160,新能源ETF,新能源ETF
2023-09-01,2024-04-01,long,2000,0.5489,0.4798,-143.27,-13.051099999999998,138,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2024-08-06,long,1200,3.5499,3.2184,-402.86,-9.4571,223,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-08-06,long,8700,1.1405,1.3393,1725.03,17.3857,223,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-08-06,long,2700,0.9306,1.0095,208.12,8.2833,223,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-08-06,long,13400,0.9414,0.7496,-2574.95,-20.412,223,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-08-06,long,40000,0.4568,0.3998,-2285.2,-12.506400000000001,223,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-08-06,long,18400,0.5068,0.4198,-1606.88,-17.2301,223,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2024-08-06,long,4200,2.32,1.6992,-2612.7,-26.813,223,sh516160,新能源ETF,新能源ETF
2023-09-01,2024-08-06,long,3000,0.9839,0.6697,-947.59,-32.1044,223,sh515790,光伏ETF,光伏ETF
2023-09-01,2024-08-06,long,33500,0.5489,0.4598,-2990.76,-16.2647,223,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2024-08-06,long,15900,1.0775,1.0195,-928.13,-5.417199999999999,223,sz159920,恒生ETF,恒生ETF
2023-09-01,2024-08-06,long,100,128.9131,134.3628,539.97,4.1887,223,sh511010,国债ETF,国债ETF
2023-09-01,2024-09-27,long,800,97.7522,98.4507,535.23,0.6844,259,sh511880,银华日利,银华日利
2023-09-01,2024-10-08,long,11400,3.5499,4.4478,10220.18,25.254199999999997,261,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-10-08,long,9200,5.3764,6.2869,8358.43,16.8982,261,sh510500,中证500ETF,中证500ETF
2023-09-01,2024-10-08,long,7800,0.9339,1.2194,2222.09,30.505900000000004,261,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-10-08,long,27000,0.8868,1.1394,6812.43,28.452699999999997,261,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-10-08,long,21400,0.4381,0.4898,1099.68,11.7285,261,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-10-08,long,17800,0.4918,0.5597,1204.62,13.7618,261,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2024-10-08,long,1100,2.2394,2.2389,-5.61,-0.22769999999999999,261,sh516160,新能源ETF,新能源ETF
2023-09-01,2024-10-08,long,3400,0.5489,0.7096,541.54,29.0177,261,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2025-01-02,long,40300,1.1754,1.6292,18266.7,38.5619,322,sh513100,纳指ETF,纳指ETF
2023-09-01,2025-01-02,long,23300,0.4381,0.5597,2827.94,27.701700000000002,322,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-01-02,long,6800,0.4918,0.5797,593.04,17.7344,322,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-04-01,long,400,5.3905,5.6472,97.68,4.5303,379,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-04-01,long,1500,0.897,1.0795,268.7,19.97,379,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-04-01,long,2600,0.4381,0.5797,363.1,31.874299999999998,379,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-04-01,long,3800,0.4918,0.6097,443.14,23.7138,379,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-04-01,long,25000,0.5564,0.7496,4826.04,34.6974,379,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2025-04-01,long,7700,1.1056,1.4393,2564.06,30.1179,379,sz159920,恒生ETF,恒生ETF
2023-09-01,2025-04-08,long,11000,0.9494,1.0695,1316.15,12.603200000000001,383,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2025-04-08,long,13100,0.897,0.9795,1075.93,9.1563,383,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-04-08,long,25300,0.4381,0.5297,2312.49,20.8618,383,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-04-08,long,16000,0.4918,0.5297,602.54,7.6579,383,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-04-08,long,7500,2.1978,1.6792,-3895.05,-23.6296,383,sh516160,新能源ETF,新能源ETF
2023-09-01,2025-04-08,long,16400,0.9306,0.6297,-4939.53,-32.3662,383,sh515790,光伏ETF,光伏ETF
2023-09-01,2025-04-08,long,17100,0.5564,0.6497,1590.71,16.7202,383,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2025-04-08,long,9000,1.1056,1.2794,1558.51,15.662300000000002,383,sz159920,恒生ETF,恒生ETF
2023-09-01,2025-05-08,long,700,5.383,5.5172,88.95,2.3606,402,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-05-08,long,12900,1.2111,1.4793,3453.86,22.1077,402,sh513100,纳指ETF,纳指ETF
2023-09-01,2025-05-08,long,700,98.4121,99.2903,593.94,0.8622,402,sh511880,银华日利,银华日利
2023-09-01,2025-10-09,long,400,3.5875,4.6277,411.06,28.6454,505,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2025-10-09,long,4000,5.383,7.3363,7804.42,36.2455,505,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-10-09,long,400,1.2111,1.8391,246.2,50.82299999999999,505,sh513100,纳指ETF,纳指ETF
2023-09-01,2025-10-09,long,12000,0.9289,1.6092,8157.91,73.1871,505,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-10-09,long,24500,0.4634,0.8996,10678.64,94.05409999999999,505,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-10-09,long,29300,0.5081,0.9895,14096.5,94.68809999999999,505,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-10-09,long,11300,2.1121,2.8586,8425.96,35.305,505,sh516160,新能源ETF,新能源ETF
2023-09-01,2025-10-09,long,17200,0.8724,0.9595,1492.73,9.9475,505,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-01-05,long,400,3.5875,4.6577,423.06,29.4812,565,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-01-05,long,600,5.383,7.4263,1220.96,37.8027,565,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-01-05,long,7900,1.2111,1.909,5508.96,57.58,565,sh513100,纳指ETF,纳指ETF
2023-09-01,2026-01-05,long,11700,0.9866,1.1794,2250.56,19.496299999999998,565,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2026-01-05,long,100,2.1121,2.8686,70.65,33.4515,565,sh516160,新能源ETF,新能源ETF
2023-09-01,2026-01-05,long,900,0.8724,0.9695,82.36,10.489700000000001,565,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-03-24,long,1900,5.383,7.4363,3896.18,38.0943,615,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-03-24,long,5900,0.9866,1.1594,1014.48,17.427599999999998,615,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2026-03-24,long,12200,0.9853,1.3493,4436.16,36.9046,615,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-03-24,long,23200,0.4952,0.7896,6824.1,59.3956,615,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2026-03-24,long,15600,0.5126,0.9295,6498.79,81.2659,615,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2026-03-24,long,11000,2.1121,3.1084,10950.06,47.1323,615,sh516160,新能源ETF,新能源ETF
2023-09-01,2026-03-24,long,33600,0.8724,1.1294,8623.55,29.4178,615,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-03-24,long,7500,0.6154,0.6197,27.13,0.5878,615,sh513180,恒生科技ETF,恒生科技ETF
