date,value
2023-09-01,1999961.57
2023-09-04,2020865.57
2023-09-05,2009305.57
2023-09-06,2004575.57
2023-09-07,1980303.57
2023-09-08,1978924.57
2023-09-11,1985810.57
2023-09-12,1986498.57
2023-09-13,1974589.57
2023-09-14,1975244.57
2023-09-15,1975096.57
2023-09-18,1967856.57
2023-09-19,1966498.57
2023-09-20,1956228.57
2023-09-21,1937434.57
2023-09-22,1963767.57
2023-09-25,1953296.57
2023-09-26,1948795.57
2023-09-27,1948778.57
2023-09-28,1948004.57
2023-10-09,1952019.57
2023-10-10,1945631.57
2023-10-11,1955395.57
2023-10-12,1970686.57
2023-10-13,1957785.57
2023-10-16,1938463.57
2023-10-17,1948289.57
2023-10-18,1930202.57
2023-10-19,1906637.57
2023-10-20,1896149.57
2023-10-23,1868495.57
2023-10-24,1878314.57
2023-10-25,1885287.57
2023-10-26,1876955.57
2023-10-27,1902626.57
2023-10-30,1908524.57
2023-10-31,1899943.57
2023-11-01,1901859.57
2023-11-02,1901822.57
2023-11-03,1915422.57
2023-11-06,1940185.57
2023-11-07,1938767.57
2023-11-08,1942130.57
2023-11-09,1944198.57
2023-11-10,1932008.57
2023-11-13,1941713.57
2023-11-14,1946347.57
2023-11-15,1963749.57
2023-11-16,1949676.57
2023-11-17,1944099.57
2023-11-20,1950381.57
2023-11-21,1948727.57
2023-11-22,1929690.57
2023-11-23,1940702.57
2023-11-24,1931177.57
2023-11-27,1923980.57
2023-11-28,1924251.57
2023-11-29,1911226.57
2023-11-30,1910589.57
2023-12-01,1912629.57
2023-12-04,1905869.57
2023-12-05,1881314.57
2023-12-06,1886509.57
2023-12-07,1878373.57
2023-12-08,1890831.57
2023-12-11,1903463.57
2023-12-12,1910919.57
2023-12-13,1896520.57
2023-12-14,1895808.57
2023-12-15,1887465.57
2023-12-18,1879078.57
2023-12-19,1883845.57
2023-12-20,1875681.57
2023-12-21,1879559.57
2023-12-22,1879306.57
2023-12-25,1877912.57
2023-12-26,1873202.57
2023-12-27,1878569.57
2023-12-28,1906336.57
2023-12-29,1907846.57
2024-01-02,1901974.57
2024-01-03,1893465.57
2024-01-04,1888364.57
2024-01-05,1873910.57
2024-01-08,1850967.57
2024-01-09,1861437.57
2024-01-10,1857030.57
2024-01-11,1869688.57
2024-01-12,1864914.57
2024-01-15,1865286.57
2024-01-16,1868409.57
2024-01-17,1830152.57
2024-01-18,1847088.57
2024-01-19,1841919.57
2024-01-22,1816546.57
2024-01-23,1827122.57
2024-01-24,1847923.57
2024-01-25,1872285.57
2024-01-26,1865694.57
2024-01-29,1848461.57
2024-01-30,1830453.57
2024-01-31,1804073.57
2024-02-01,1801726.57
2024-02-02,1791507.57
2024-02-05,1786489.57
2024-02-06,1841182.57
2024-02-07,1864573.57
2024-02-08,1882778.57
2024-02-19,1897074.57
2024-02-20,1895650.57
2024-02-21,1901156.57
2024-02-22,1920965.57
2024-02-23,1930371.57
2024-02-26,1916846.57
2024-02-27,1938885.57
2024-02-28,1917727.57
2024-02-29,1940613.57
2024-03-01,1959457.57
2024-03-04,1967964.57
2024-03-05,1962320.57
2024-03-06,1960522.57
