entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2023-10-09,long,500,5.4744,5.3973,-43.54,-1.5906,20,sh510500,中证500ETF,中证500ETF
2023-09-01,2023-10-09,long,14200,0.9307,0.9495,261.69,1.9800000000000002,20,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-01-02,long,30300,1.1405,1.2094,2077.25,6.0112,80,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-01-02,long,600,0.4801,0.4498,-23.17,-8.0428,80,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-04-01,long,17200,1.1405,1.3493,3585.24,18.276999999999997,138,sh513100,纳指ETF,纳指ETF
2023-09-01,2024-04-01,long,21200,0.9304,1.0095,1669.76,8.4651,138,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-10-08,long,12600,3.5644,4.4478,11114.3,24.7475,261,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2024-10-08,long,5200,5.4396,6.2869,4396.05,15.541599999999999,261,sh510500,中证500ETF,中证500ETF
2023-09-01,2024-10-08,long,15000,0.9304,1.2194,4328.91,31.0173,261,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2024-10-08,long,16700,0.9618,1.1394,2961.39,18.4379,261,sh588000,科创50ETF,科创50ETF
2023-09-01,2024-10-08,long,11000,0.4689,0.4898,224.93,4.3614,261,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2024-10-08,long,4700,0.517,0.5597,195.68,8.0524,261,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2024-10-08,long,22100,0.5765,0.7096,2937.78,23.058799999999998,261,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2024-10-08,long,10200,1.0986,1.4193,3265.85,29.144,261,sz159920,恒生ETF,恒生ETF
2023-09-01,2025-01-02,long,40100,1.1658,1.6292,18561.01,39.7029,322,sh513100,纳指ETF,纳指ETF
2023-09-01,2025-01-02,long,23200,0.4689,0.5597,2103.14,19.335,322,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-01-02,long,6600,0.517,0.5797,408.73,11.978,322,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-04-01,long,400,5.4473,5.6472,74.95,3.4396000000000004,379,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-04-01,long,1500,0.967,1.0795,163.65,11.2818,379,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-04-01,long,2600,0.4689,0.5797,283.23,23.2344,379,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-04-01,long,3900,0.517,0.6097,356.42,17.6762,379,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-04-01,long,25000,0.5806,0.7496,4219.63,29.0701,379,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2025-04-01,long,7700,1.1138,1.4393,2501.45,29.168,379,sz159920,恒生ETF,恒生ETF
2023-09-01,2025-10-09,long,3000,5.4473,7.3363,5660.47,34.6377,505,sh510500,中证500ETF,中证500ETF
2023-09-01,2025-10-09,long,11300,1.2022,1.8391,7190.94,52.9351,505,sh513100,纳指ETF,纳指ETF
2023-09-01,2025-10-09,long,12500,0.967,1.6092,8021.05,66.3563,505,sh588000,科创50ETF,科创50ETF
2023-09-01,2025-10-09,long,27700,0.4689,0.8996,11922.86,91.8047,505,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2025-10-09,long,26400,0.517,0.9895,12465.68,91.3276,505,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2025-10-09,long,8500,2.3395,2.8586,4404.49,22.148699999999998,505,sh516160,新能源ETF,新能源ETF
2023-09-01,2025-10-09,long,8000,0.9628,0.9595,-31.35,-0.407,505,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-01-05,long,400,3.6079,4.6577,414.91,28.7506,565,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-01-05,long,600,5.4473,7.4263,1182.39,36.1765,565,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-01-05,long,7900,1.2022,1.909,5579.38,58.7483,565,sh513100,纳指ETF,纳指ETF
2023-09-01,2026-01-05,long,11700,0.979,1.1794,2340.21,20.4316,565,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2026-01-05,long,900,0.9628,0.9695,1.03,0.11900000000000001,565,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-04-01,long,3200,5.4473,7.6662,7092.99,40.6909,621,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-04-01,long,15100,0.979,1.1994,3323.14,22.4804,621,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2026-04-01,long,2800,2.3395,3.0085,1868.08,28.517300000000002,621,sh516160,新能源ETF,新能源ETF
2023-09-01,2026-04-01,long,9200,0.9628,1.0395,700.33,7.9063,621,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-09-11,long,89400,3.61,4.5767,86302.5,26.7412,733,sh510300,沪深300ETF,沪深300ETF
2023-09-01,2026-09-11,long,52800,5.4473,7.6072,113921.55,39.6087,733,sh510500,中证500ETF,中证500ETF
2023-09-01,2026-09-11,long,235100,1.2408,2.1999,225326.66,77.24220000000001,733,sh513100,纳指ETF,纳指ETF
2023-09-01,2026-09-11,long,337100,0.979,1.2024,75197.9,22.7866,733,sh512890,红利低波ETF,红利低波ETF
2023-09-01,2026-09-11,long,69900,1.0291,1.6382,42539.52,59.1361,733,sh588000,科创50ETF,科创50ETF
2023-09-01,2026-09-11,long,119400,0.5034,1.0215,61825.9,102.8661,733,sh512760,半导体芯片ETF,半导体芯片ETF
2023-09-01,2026-09-11,long,86900,0.5319,1.0715,46857.63,101.3693,733,sh515070,人工智能ETF,人工智能ETF
2023-09-01,2026-09-11,long,35900,2.3395,2.3008,-1413.66,-1.6830999999999998,733,sh516160,新能源ETF,新能源ETF
2023-09-01,2026-09-11,long,90800,0.9628,0.7926,-15476.64,-17.7031,733,sh515790,光伏ETF,光伏ETF
2023-09-01,2026-09-11,long,173900,0.6184,0.5467,-12494.6,-11.6184,733,sh513180,恒生科技ETF,恒生科技ETF
2023-09-01,2026-09-11,long,62400,1.1767,1.4563,17415.44,23.7175,733,sz159920,恒生ETF,恒生ETF
2023-09-01,2026-09-11,long,2000,130.9907,141.0754,20084.76,7.6665,733,sh511010,国债ETF,国债ETF
2023-09-01,2026-09-11,long,1100,96.9976,100.7436,4087.36,3.8308,733,sh511880,银华日利,银华日利
