date,value
2023-09-01,4004923.7
2023-09-04,4067933.7
2023-09-05,4031752.7
2023-09-06,4033366.7
2023-09-07,3956931.7
2023-09-08,3937449.7
2023-09-11,3983907.7
2023-09-12,3974893.7
2023-09-13,3945436.7
2023-09-14,3936233.7
2023-09-15,3913618.7
2023-09-18,3907658.7
2023-09-19,3899688.7
2023-09-20,3880727.7
2023-09-21,3847966.7
2023-09-22,3931946.7
2023-09-25,3908976.7
2023-09-26,3897821.7
2023-09-27,3912237.7
2023-09-28,3921844.7
2023-10-09,3911425.7
2023-10-10,3891954.7
2023-10-11,3903339.7
2023-10-12,3930486.7
2023-10-13,3892442.7
2023-10-16,3848067.7
2023-10-17,3868555.7
2023-10-18,3845039.7
2023-10-19,3800976.7
2023-10-20,3788168.7
2023-10-23,3739046.7
2023-10-24,3753217.7
2023-10-25,3768291.7
2023-10-26,3784706.7
2023-10-27,3831836.7
2023-10-30,3873522.7
2023-10-31,3861431.7
2023-11-01,3861079.7
2023-11-02,3840364.7
2023-11-03,3878199.7
2023-11-06,3907204.7
2023-11-07,3927444.7
2023-11-08,3921681.7
2023-11-09,3926366.7
2023-11-10,3902325.7
2023-11-13,3913534.7
2023-11-14,3921829.7
2023-11-15,3941254.7
2023-11-16,3892175.7
2023-11-17,3902419.7
2023-11-20,3909011.7
2023-11-21,3902904.7
2023-11-22,3850480.7
2023-11-23,3871717.7
2023-11-24,3829185.7
2023-11-27,3835093.7
2023-11-28,3850062.7
2023-11-29,3826770.7
2023-11-30,3833255.7
2023-12-01,3840771.7
2023-12-04,3837059.7
2023-12-05,3772402.7
2023-12-06,3787605.7
2023-12-07,3774239.7
2023-12-08,3831160.7
2023-12-11,3864656.7
2023-12-12,3851515.7
2023-12-13,3793076.7
2023-12-14,3776418.7
2023-12-15,3755836.7
2023-12-18,3746148.7
2023-12-19,3761946.7
2023-12-20,3730777.7
2023-12-21,3777085.7
2023-12-22,3775787.7
2023-12-25,3766739.7
2023-12-26,3732076.7
2023-12-27,3746832.7
2023-12-28,3820177.7
2023-12-29,3839911.7
2024-01-02,3826497.7
2024-01-03,3816401.7
2024-01-04,3799683.7
2024-01-05,3749515.7
2024-01-08,3693264.7
2024-01-09,3709588.7
2024-01-10,3692904.7
2024-01-11,3719081.7
2024-01-12,3699761.7
2024-01-15,3697610.7
2024-01-16,3716720.7
2024-01-17,3650767.7
2024-01-18,3719390.7
2024-01-19,3705738.7
2024-01-22,3643847.7
2024-01-23,3684567.7
2024-01-24,3724627.7
2024-01-25,3795169.7
2024-01-26,3769313.7
2024-01-29,3698687.7
2024-01-30,3629371.7
2024-01-31,3608200.7
2024-02-01,3629840.7
2024-02-02,3586145.7
2024-02-05,3605836.7
2024-02-06,3768778.7
2024-02-07,3813114.7
2024-02-08,3839432.7
2024-02-19,3960433.7
2024-02-20,3957184.7
2024-02-21,3959491.7
2024-02-22,4011132.7
2024-02-23,3999261.7
2024-02-26,3972473.7
2024-02-27,4063143.7
2024-02-28,3995183.7
2024-02-29,4086444.7
