entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2025-08-14,long,1200,58.7287,140.5193,97992.76,139.0056,471,688041.SH,海光信息,海光信息
2023-09-01,2025-08-14,long,1400,79.6996,244.755,230769.93,206.7591,471,300308.SZ,中际旭创,中际旭创
2023-09-01,2025-08-14,long,100,201.0208,331.2684,12992.23,64.6119,471,002371.SZ,北方华创,北方华创
2023-09-01,2025-08-14,long,400,54.4344,88.6013,13631.89,62.5882,471,688981.SH,中芯国际,中芯国际
2023-09-01,2025-08-14,long,400,41.2912,62.5874,8493.46,51.4087,471,600276.SH,恒瑞医药,恒瑞医药
2023-09-01,2025-08-14,long,500,39.5395,69.4804,14936.75,75.5309,471,603019.SH,中科曙光,中科曙光
2023-09-01,2025-08-14,long,6500,2.4024,3.7263,8581.09,54.9356,471,600219.SH,南山铝业,南山铝业
2023-09-01,2025-08-14,long,8300,4.4722,7.4263,24488.99,65.9535,471,518880.SH,华安黄金ETF,华安黄金ETF
2023-09-01,2025-08-14,long,200,19.2692,26.5934,1456.01,37.7693,471,600900.SH,长江电力,长江电力
2023-09-01,2025-08-14,long,700,25.986,41.4885,10823.07,59.4817,471,600036.SH,招商银行,招商银行
2023-09-01,2026-04-17,long,300,58.7287,257.5922,59591.94,338.1316,632,688041.SH,海光信息,海光信息
2023-09-01,2026-04-17,long,700,79.6996,839.16,531135.6,951.7455,632,300308.SZ,中际旭创,中际旭创
2023-09-01,2026-04-17,long,100,69.6916,132.2576,6242.9,89.552,632,300274.SZ,阳光电源,阳光电源
2023-09-01,2026-04-17,long,4700,13.697,27.4126,64340.77,99.9155,632,600089.SH,特变电工,特变电工
2023-09-01,2026-04-17,long,2900,15.6549,41.928,76080.9,167.5307,632,600875.SH,东方电气,东方电气
2023-09-01,2026-04-17,long,200,21.8018,44.4755,4523.98,103.7215,632,601088.SH,中国神华,中国神华
2023-09-01,2026-04-17,long,5200,2.4024,6.2438,19945.3,159.6106,632,600219.SH,南山铝业,南山铝业
2023-09-01,2026-04-17,long,2200,18.3027,38.7612,44928.31,111.5452,632,000792.SZ,盐湖股份,盐湖股份
2023-09-01,2026-09-03,long,134700,3.9052,4.6187,95760.14,18.1988,727,510300.SH,沪深300ETF,沪深300ETF
2023-09-01,2026-09-03,long,59200,5.9386,7.7771,108596.6,30.8802,727,510500.SH,中证500ETF,中证500ETF
2023-09-01,2026-09-03,long,97000,2.6148,3.0845,45386.72,17.8888,727,512100.SH,中证1000ETF,中证1000ETF
2023-09-01,2026-09-03,long,321400,1.0633,1.7021,205075.11,59.9931,727,588000.SH,科创50ETF,科创50ETF
2023-09-01,2026-09-03,long,131500,2.1087,3.3283,160161.09,57.7399,727,159915.SZ,创业板ETF,创业板ETF
2023-09-01,2026-09-03,long,1200,58.7287,245.9538,224412.9,318.3363,727,688041.SH,海光信息,海光信息
2023-09-01,2026-09-03,long,400,79.6996,812.187,292725.49,917.9394,727,300308.SZ,中际旭创,中际旭创
2023-09-01,2026-09-03,long,2400,69.6916,86.9929,41305.91,24.6882,727,300274.SZ,阳光电源,阳光电源
2023-09-01,2026-09-03,long,600,201.0208,655.1842,272147.33,225.5701,727,002371.SZ,北方华创,北方华创
2023-09-01,2026-09-03,long,2300,65.193,123.7461,134399.63,89.6065,727,688981.SH,中芯国际,中芯国际
2023-09-01,2026-09-03,long,4200,47.6726,45.914,-7600.4,-3.7948,727,600276.SH,恒瑞医药,恒瑞医药
2023-09-01,2026-09-03,long,1800,47.736,84.2656,65606.21,76.3301,727,603019.SH,中科曙光,中科曙光
2023-09-01,2026-09-03,long,11600,13.697,18.8112,59102.18,37.1869,727,600089.SH,特变电工,特变电工
2023-09-01,2026-09-03,long,5700,15.6549,24.5554,50593.67,56.6811,727,600875.SH,东方电气,东方电气
2023-09-01,2026-09-03,long,7100,21.8018,47.7322,183788.57,118.6965,727,601088.SH,中国神华,中国神华
2023-09-01,2026-09-03,long,38300,2.4024,4.9251,96439.75,104.7808,727,600219.SH,南山铝业,南山铝业
2023-09-01,2026-09-03,long,38800,5.6625,5.8342,6411.37,2.9173,727,600019.SH,宝钢股份,宝钢股份
2023-09-01,2026-09-03,long,39900,4.9576,9.1004,165132.73,83.4568,727,518880.SH,华安黄金ETF,华安黄金ETF
2023-09-01,2026-09-03,long,6100,18.3027,27.0429,53149.68,47.591,727,000792.SZ,盐湖股份,盐湖股份
2023-09-01,2026-09-03,long,12300,21.4944,28.4116,84722.19,32.0359,727,600900.SH,长江电力,长江电力
2023-09-01,2026-09-03,long,2400,117.1862,70.6093,-112004.54,-39.8123,727,000858.SZ,五粮液,五粮液
2023-09-01,2026-09-03,long,2800,46.5654,57.942,31685.44,24.2945,727,601318.SH,中国平安,中国平安
2023-09-01,2026-09-03,long,6100,30.6395,41.0289,63119.47,33.7615,727,600036.SH,招商银行,招商银行
