date,value
2023-09-01,4007865.02
2023-09-04,4070875.02
2023-09-05,4034694.02
2023-09-06,4036308.02
2023-09-07,3959873.02
2023-09-08,3940391.02
2023-09-11,3986849.02
2023-09-12,3977835.02
2023-09-13,3948378.02
2023-09-14,3939175.02
2023-09-15,3916560.02
2023-09-18,3910600.02
2023-09-19,3902630.02
2023-09-20,3883669.02
2023-09-21,3850908.02
2023-09-22,3934888.02
2023-09-25,3911918.02
2023-09-26,3900763.02
2023-09-27,3915179.02
2023-09-28,3924786.02
2023-10-09,3914367.02
2023-10-10,3894896.02
2023-10-11,3906281.02
2023-10-12,3933428.02
2023-10-13,3895384.02
2023-10-16,3851009.02
2023-10-17,3871497.02
2023-10-18,3847981.02
2023-10-19,3803918.02
2023-10-20,3791110.02
2023-10-23,3741988.02
2023-10-24,3756159.02
2023-10-25,3771233.02
2023-10-26,3787648.02
2023-10-27,3834778.02
2023-10-30,3876464.02
2023-10-31,3864373.02
2023-11-01,3864021.02
2023-11-02,3843306.02
2023-11-03,3881141.02
2023-11-06,3910146.02
2023-11-07,3930386.02
2023-11-08,3924623.02
2023-11-09,3929308.02
2023-11-10,3905267.02
2023-11-13,3916476.02
2023-11-14,3924771.02
2023-11-15,3944196.02
2023-11-16,3895117.02
2023-11-17,3905361.02
2023-11-20,3911953.02
2023-11-21,3905846.02
2023-11-22,3853422.02
2023-11-23,3874659.02
2023-11-24,3832127.02
2023-11-27,3838035.02
2023-11-28,3853004.02
2023-11-29,3829712.02
2023-11-30,3836197.02
2023-12-01,3843713.02
2023-12-04,3840001.02
2023-12-05,3775344.02
2023-12-06,3790547.02
2023-12-07,3777181.02
2023-12-08,3834102.02
2023-12-11,3867598.02
2023-12-12,3854457.02
2023-12-13,3796018.02
2023-12-14,3779360.02
2023-12-15,3758778.02
2023-12-18,3749090.02
2023-12-19,3764888.02
2023-12-20,3733719.02
2023-12-21,3780027.02
2023-12-22,3778729.02
2023-12-25,3769681.02
2023-12-26,3735018.02
2023-12-27,3749774.02
2023-12-28,3823119.02
2023-12-29,3842853.02
2024-01-02,3829439.02
2024-01-03,3819343.02
2024-01-04,3802625.02
2024-01-05,3752457.02
2024-01-08,3696206.02
2024-01-09,3712530.02
2024-01-10,3695846.02
2024-01-11,3722023.02
2024-01-12,3702703.02
2024-01-15,3700552.02
2024-01-16,3719662.02
2024-01-17,3653709.02
2024-01-18,3722332.02
2024-01-19,3708680.02
2024-01-22,3646789.02
2024-01-23,3687509.02
2024-01-24,3727569.02
2024-01-25,3798111.02
2024-01-26,3772255.02
2024-01-29,3701629.02
2024-01-30,3632313.02
2024-01-31,3611142.02
2024-02-01,3632782.02
2024-02-02,3589087.02
2024-02-05,3608778.02
2024-02-06,3771720.02
2024-02-07,3816056.02
2024-02-08,3842374.02
2024-02-19,3963375.02
2024-02-20,3960126.02
2024-02-21,3962433.02
2024-02-22,4014074.02
2024-02-23,4002203.02
2024-02-26,3975415.02
2024-02-27,4066085.02
2024-02-28,3998125.02
2024-02-29,4089386.02
2024-03-01,4134681.02
2024-03-04,4160965.02
2024-03-05,4184063.02
2024-03-06,4183110.02
2024-03-07,4148602.02
2024-03-08,4201793.02
2024-03-11,4250150.02
2024-03-12,4204072.02
2024-03-13,4180247.02
2024-03-14,4186768.02
2024-03-15,4212588.02
2024-03-18,4253542.02
2024-03-19,4211107.02
2024-03-20,4211384.02
2024-03-21,4207990.02
2024-03-22,4185427.02
2024-03-25,4163049.02
2024-03-26,4133227.02
2024-03-27,4081950.02
2024-03-28,4111479.02
2024-03-29,4140079.02
2024-04-01,4199714.02
2024-04-02,4178742.02
2024-04-03,4151473.02
2024-04-08,4149444.02
2024-04-09,4153045.02
2024-04-10,4108198.02
2024-04-11,4113791.02
2024-04-12,4122898.02
2024-04-15,4196765.02
2024-04-16,4156292.02
2024-04-17,4236277.02
2024-04-18,4216004.02
2024-04-19,4184488.02
2024-04-22,4117091.02
2024-04-23,4087610.02
2024-04-24,4136809.02
2024-04-25,4139299.02
2024-04-26,4233391.02
2024-04-29,4288151.02
2024-04-30,4270923.02
2024-05-06,4305585.02
2024-05-07,4293887.02
2024-05-08,4264172.02
2024-05-09,4305078.02
2024-05-10,4288543.02
2024-05-13,4271458.02
2024-05-14,4241457.02
2024-05-15,4215469.02
2024-05-16,4239612.02
2024-05-17,4273015.02
2024-05-20,4306061.02
2024-05-21,4288280.02
2024-05-22,4292531.02
2024-05-23,4240402.02
2024-05-24,4179363.02
2024-05-27,4248331.02
2024-05-28,4227316.02
2024-05-29,4233659.02
2024-05-30,4228331.02
2024-05-31,4202631.02
2024-06-03,4240194.02
2024-06-04,4288602.02
2024-06-05,4256173.02
2024-06-06,4269537.02
2024-06-07,4229888.02
2024-06-11,4222954.02
2024-06-12,4229767.02
2024-06-13,4233755.02
2024-06-14,4271597.02
2024-06-17,4283815.02
2024-06-18,4314344.02
2024-06-19,4294578.02
2024-06-20,4284803.02
2024-06-21,4284242.02
2024-06-24,4231875.02
2024-06-25,4176396.02
2024-06-26,4219848.02
2024-06-27,4171825.02
2024-06-28,4196203.02
2024-07-01,4234937.02
2024-07-02,4225710.02
2024-07-03,4210535.02
2024-07-04,4187075.02
2024-07-05,4199616.02
2024-07-08,4185167.02
2024-07-09,4254337.02
2024-07-10,4223433.02
2024-07-11,4259823.02
2024-07-12,4258433.02
2024-07-15,4274577.02
2024-07-16,4327447.02
2024-07-17,4302204.02
2024-07-18,4324279.02
2024-07-19,4330852.02
2024-07-22,4323353.02
2024-07-23,4216608.02
2024-07-24,4208443.02
2024-07-25,4166400.02
2024-07-26,4181192.02
2024-07-29,4169971.02
2024-07-30,4151960.02
2024-07-31,4241691.02
2024-08-01,4225929.02
2024-08-02,4157250.02
2024-08-05,4063619.02
2024-08-06,4085902.02
2024-08-07,4074226.02
2024-08-08,4073891.02
2024-08-09,4069206.02
2024-08-12,4074680.02
2024-08-13,4092300.02
2024-08-14,4045866.02
2024-08-15,4083582.02
2024-08-16,4093892.02
2024-08-19,4103274.02
2024-08-20,4068530.02
2024-08-21,4065312.02
2024-08-22,4050859.02
2024-08-23,4049126.02
2024-08-26,4043191.02
2024-08-27,4032492.02
2024-08-28,4026348.02
2024-08-29,4019189.02
2024-08-30,4079046.02
2024-09-02,4019001.02
2024-09-03,4024559.02
2024-09-04,3988694.02
2024-09-05,3985983.02
2024-09-06,3947852.02
2024-09-09,3925345.02
2024-09-10,3943368.02
2024-09-11,3939877.02
2024-09-12,3932851.02
2024-09-13,3942625.02
2024-09-18,3941069.02
2024-09-19,3955743.02
2024-09-20,3952904.02
2024-09-23,3953930.02
2024-09-24,4116738.02
2024-09-25,4159479.02
