entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-09-01,2026-09-03,long,89300,3.58,4.621,92741.6,29.0008,727,510300.SH,沪深300ETF,沪深300ETF
2023-09-01,2026-09-03,long,43800,5.47,7.781,101047.68,42.1633,727,510500.SH,中证500ETF,中证500ETF
2023-09-01,2026-09-03,long,67200,2.38,3.086,47333.01,29.5861,727,512100.SH,中证1000ETF,中证1000ETF
2023-09-01,2026-09-03,long,242400,0.99,1.703,172635.37,71.917,727,588000.SH,科创50ETF,科创50ETF
2023-09-01,2026-09-03,long,116500,2.06,3.33,147766.62,61.5535,727,159915.SZ,创业板ETF,创业板ETF
2023-09-01,2026-09-03,long,2700,58.67,246.2,505751.69,319.1738,727,688041.SH,海光信息,海光信息
2023-09-01,2026-09-03,long,2500,79.62,813.0,1831764.28,919.9774,727,300308.SZ,中际旭创,中际旭创
2023-09-01,2026-09-03,long,2300,68.15,87.08,43331.75,27.6365,727,300274.SZ,阳光电源,阳光电源
2023-09-01,2026-09-03,long,700,200.82,655.84,318104.56,226.2219,727,002371.SZ,北方华创,北方华创
2023-09-01,2026-09-03,long,2200,54.38,123.87,152624.1,127.5355,727,688981.SH,中芯国际,中芯国际
2023-09-01,2026-09-03,long,2900,41.25,45.96,13516.49,11.2957,727,600276.SH,恒瑞医药,恒瑞医药
2023-09-01,2026-09-03,long,2000,39.5,84.35,89541.34,113.3095,727,603019.SH,中科曙光,中科曙光
2023-09-01,2026-09-03,long,11500,13.86,18.83,56933.95,35.7092,727,600089.SH,特变电工,特变电工
2023-09-01,2026-09-03,long,7800,15.31,24.58,72116.8,60.3721,727,600875.SH,东方电气,东方电气
2023-09-01,2026-09-03,long,7300,21.78,47.78,189473.27,119.1343,727,601088.SH,中国神华,中国神华
2023-09-01,2026-09-03,long,50000,2.4,4.93,126266.8,105.1908,727,600219.SH,南山铝业,南山铝业
2023-09-01,2026-09-03,long,22700,5.27,5.84,12797.06,10.6941,727,600019.SH,宝钢股份,宝钢股份
2023-09-01,2026-09-03,long,44700,4.47,9.105,207002.46,103.5691,727,518880.SH,华安黄金ETF,华安黄金ETF
2023-09-01,2026-09-03,long,6600,18.01,27.07,59617.41,50.1401,727,000792.SZ,盐湖股份,盐湖股份
2023-09-01,2026-09-03,long,8300,19.25,28.44,76040.23,47.5778,727,600900.SH,长江电力,长江电力
2023-09-01,2026-09-03,long,800,141.43,70.68,-56679.18,-50.0797,727,000858.SZ,五粮液,五粮液
2023-09-01,2026-09-03,long,1900,41.72,58.0,30820.06,38.8692,727,601318.SH,中国平安,中国平安
2023-09-01,2026-09-03,long,4600,25.96,41.07,69319.04,58.031,727,600036.SH,招商银行,招商银行
