"TaskName","Status","BackupFile"
"v7.5_Live_Scheduler","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v7.5_Live_Scheduler.txt"
"v7.5_Live_Scheduler_Stop","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v7.5_Live_Scheduler_Stop.txt"
"v75_AutoLearn","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_AutoLearn.txt"
"v75_DailyWorkflow","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_DailyWorkflow.txt"
"v75_PostMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_PostMarket.txt"
"v75_PreMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_PreMarket.txt"
"v75_TradePostMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_TradePostMarket.txt"
"v75_TradePreMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_TradePreMarket.txt"
"v75_WeeklyTrade","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_WeeklyTrade.txt"
"v75_WeeklyTrade_Night","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_WeeklyTrade_Night.txt"
"v75_WeeklyTrade_PM","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v75_WeeklyTrade_PM.txt"
"v76_PostMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v76_PostMarket.txt"
"v76_PreMarket","EXISTS","e:\各种PY程序\28-终极量化交易系统8.4\docs\legacy_tasks_backup_20260726\v76_PreMarket.txt"
